,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
1091,"My brother @robkardashian has been working hard with some friends on his new line of clothing, available now at https://t.co/eMOynQPFCR https://t.co/IxIA9NjlNx",4432,263,2019,62585118,4695,0.01,159
1092,👟👟👟 https://t.co/0XHBpWOCxn,4461,196,2019,62585118,4657,0.01,27
1093,"This is so sad!                      Horrifying video shows prison guard turn off body cam and beat inmate
 https://t.co/18rpXFhy89",4508,591,2019,62585118,5099,0.01,132
1094,"This is actually crazy!!!                  Man dies and body is returned to family with no heart, brain or throat
 https://t.co/ztucEU5f38",8436,1170,2019,62585118,9606,0.02,139
1095,"🤟🏼 Shoppers camp overnight to get their hands on Kanye West sneakers
 https://t.co/tBqUBEq3BA",6236,395,2019,62585118,6631,0.01,94
1096,Throwback Thursday to this fitting https://t.co/qXz344nuqp,48528,1738,2019,62585118,50266,0.08,58
1097,Best Snuggles 📷 @kendalljenner https://t.co/1cNw3RXL0d,114088,9485,2019,62585118,123573,0.2,54
1098,My @LemkeUs sunglasses are restocked and available to shop today at https://t.co/USBcysK4Gw!! https://t.co/KMXagk7lLi,1973,107,2019,62585118,2080,0.0,117
1099,Who is ready for Handmaids Tale tonight? 🙋🏻‍♀️,30022,2416,2019,62585118,32438,0.05,46
1100,A True Chicago Stormi ⛈ https://t.co/nPMJZMs9CL,223164,20169,2019,62585118,243333,0.39,47
1101,Oh hi!!!! https://t.co/4xMXIB3dyb,4664,134,2019,62585118,4798,0.01,33
1102,👑👑👑 https://t.co/YcP7jfE2n0,10587,456,2019,62585118,11043,0.02,27
1103,Sorry I wasn’t live tweeting. I have homework tonight. #IntentionalTorts https://t.co/CWpRDxSsYJ,37868,1620,2019,62585118,39488,0.06,96
1104,North is loving it! ✨ https://t.co/TASzFIdi1V,66173,5348,2019,62585118,71521,0.11,45
1105,✨ https://t.co/xKA2YpIm7y,9460,650,2019,62585118,10110,0.02,25
1106,👑 https://t.co/cd3MQBi9zY,5366,566,2019,62585118,5932,0.01,25
1107,I forgot to post last weeks Sunday Service . This was Saints first time singing in the choir so North made sure he knew the words. https://t.co/nA3IqRNtTY,31281,2603,2019,62585118,33884,0.05,154
1108,Today at Sunday Service https://t.co/D3s3OZjNVs,4995,564,2019,62585118,5559,0.01,47
1109,Today at Sunday Service https://t.co/JJxyxDkeVQ,4366,391,2019,62585118,4757,0.01,47
1110,😍 https://t.co/pjHgN2p8NC,10009,553,2019,62585118,10562,0.02,25
1111,The best dad ever! 💕 https://t.co/Em2o0zUm3d,65682,1357,2019,62585118,67039,0.11,44
1112,Beautiful!!!! https://t.co/1DygsxFkkR,11308,202,2019,62585118,11510,0.02,37
1113,😢 https://t.co/KyUyfvtt0p,55348,6078,2019,62585118,61426,0.1,25
1114,https://t.co/panqMLArym,9176,790,2019,62585118,9966,0.02,23
1115,I am hopeful that Kevin will be exonerated since DNA testing has now been ordered on Kevin’s case and I remain grateful to Governor Newsom for ending capital punishment in California. https://t.co/NmLbh0bNYD,33090,2357,2019,62585118,35447,0.06,207
1116,I had an emotional meeting with Kevin Cooper yesterday at San Quentin’s death row. I found him to be thoughtful and honest and I believe he is innocent of the crimes for which he was convicted. https://t.co/FveajjjA5y,38089,2857,2019,62585118,40946,0.07,217
1117,"You know how I feel about this!!!!!!!
💕💕💕🔥🔥🔥 CONGRATS!!!!!! https://t.co/4Tzd5Sg1hI",5000,181,2019,62585118,5181,0.01,84
1118,OMG all of my dreams are coming true!!!! I am so proud of @lala https://t.co/lO8j9jkDEE,3259,132,2019,62585118,3391,0.01,87
1119,https://t.co/yTzBtpDuXp,5247,504,2019,62585118,5751,0.01,23
1120,"I love seeing Kanye open up to David Letterman during their episode taping for My Next Guest, and now you can see the great conversation on @Netflix. All episodes are streaming today. #MyNextGuest https://t.co/URdSup1YtX",12159,736,2019,62585118,12895,0.02,220
1121,👋🏼 https://t.co/aAmD8bSqcG,63240,3543,2019,62585118,66783,0.11,26
1122,👏🏼 https://t.co/HIY05vTeYP,8207,659,2019,62585118,8866,0.01,26
1123,Yessss I’m ready!!!! https://t.co/S507egN3dE,42557,4777,2019,62585118,47334,0.08,44
1124,Forever Highlighter is SOLD OUT!!! Love Lipstick &amp; Soulmate Gloss are available to shop individually at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/qYvnqwf3F0,2037,97,2019,62585118,2134,0.0,166
1125,"Date Night Glam
Wearing @kkwbeauty Nude lipliner 2, Lipstick Love with Lipgloss Soulmate and powder contour singles in shade 5 and 6
https://t.co/sbyklMQhdE  📷 BackGrid https://t.co/kGOSHlryoR",7096,257,2019,62585118,7353,0.01,194
1126,North https://t.co/P1BZZx1rLA,59151,2252,2019,62585118,61403,0.1,29
1127,Chicago https://t.co/RFrwRvJDCs,64524,2434,2019,62585118,66958,0.11,31
1128,💋 https://t.co/yyyIIvY7Ak,14146,670,2019,62585118,14816,0.02,25
1129,Who has seen ⁦@ParisHilton⁩ new music video!!! 🙋🏻‍♀️🔥🔥🔥 https://t.co/A2i9yN2iId,43514,3978,2019,62585118,47492,0.08,79
1130,Shooting @kkwbeauty Mrs. West Collection was so much fun. Everything is almost sold out. Just a few more highlighters and lip stick &amp; gloss https://t.co/URoukt2hYc https://t.co/ysRbd3ekyI,11083,535,2019,62585118,11618,0.02,191
1131,It’s sold out now! All we have left from this collection is a few lip sticks and lip glosses! https://t.co/DYMyh8uU2V,3431,91,2019,62585118,3522,0.01,117
1132,Omg my mom looking at Scott and saying “how about you used to be weird” 😂,20001,706,2019,62585118,20707,0.03,73
1133,🙋🏻‍♀️ https://t.co/UgPh1yEcpJ,1549,71,2019,62585118,1620,0.0,29
1134,Yessss https://t.co/Y2hRV737Vq,1541,58,2019,62585118,1599,0.0,30
1135,Oh just wait https://t.co/LvQVvLZgTb,4909,122,2019,62585118,5031,0.01,36
1136,Twins https://t.co/uSwauGKTRy,6523,209,2019,62585118,6732,0.01,29
1137,Rule #1 Don’t buy other people pets 😂😂😂,30634,1284,2019,62585118,31918,0.05,39
1138,😂 https://t.co/qRpkAfH7QQ,2813,84,2019,62585118,2897,0.0,25
1139,This North and Khloe is not cool. I can’t believe Khloe let North talk her into getting a hamster 🐹,36856,865,2019,62585118,37721,0.06,99
1140,KUWTK starts NOW! Tune into E!,3344,156,2019,62585118,3500,0.01,30
1141,In that message to Scott I forgot to say Happy Birthday 🤦🏻‍♀️🎂🎈,53245,1040,2019,62585118,54285,0.09,63
1142,"Found these gems from 2008. Scott I’ve known you for almost 15 years, we’ve all been through so much together and have the best memories! You are like my brother. I’ve seen you grow up and become the most amazing father and friend. So happy you are in our lives. I love you https://t.co/N4znyUJHc9",106956,3126,2019,62585118,110082,0.18,297
1143,"✨ Memorial Day Weekend Sale! ✨ 25% off SITE WIDE at https://t.co/eAGj098U38 Ends TOMORROW, 05.27 at 11:59PM PST, while supplies last #kkwfragrance https://t.co/kfl1sCyGJY",2051,96,2019,62585118,2147,0.0,170
1144,Get up to 40% off during my Memorial Day Weekend Sale at https://t.co/aIjp1MBlpZ!! #kkwbeauty https://t.co/qmqc8jcIe4,2269,107,2019,62585118,2376,0.0,117
1145,Date Night in Vegas w @celinedion My heart will go on https://t.co/VCjwHikDBs,66471,2786,2019,62585118,69257,0.11,77
1146,"Shop the #KKWFRAGRANCE Memorial Day Weekend Sale! 25% off site wide at https://t.co/tbQezJs782✨ Ends Monday, 05.27 at 11:59PM PST https://t.co/VFuWYgQ2xF",1693,87,2019,62585118,1780,0.0,153
1147,My new @kkwbeauty Forever Highlighter is a shimmering champagne gold shade that blends flawlessly and melts into the skin. Shop it today at https://t.co/aIjp1MBlpZ ✨ #kkwbeauty https://t.co/dHvHnjq7na,2227,99,2019,62585118,2326,0.0,200
1148,✨ https://t.co/M5UmJ8ld8h,9689,269,2019,62585118,9958,0.02,25
1149,This is beautiful 🙏🏼🐻 https://t.co/aW9HBQB0dH,15828,1101,2019,62585118,16929,0.03,45
1150,Limited quantities left of the @kkwbeauty Mrs. West Eyeshadow Palette!! Tap to shop before it sells out!!! #KKWBEAUTY https://t.co/OTd3jaJwSH,2412,90,2019,62585118,2502,0.0,141
1151,I am so happy you guys all got the Mrs. West Collection. I know most of it sold out in the first 7 minutes but there’s a few items left. Unfortunately this is a limited edition collection and we won’t be restocking,12717,337,2019,62585118,13054,0.02,214
1152,"Shop the #KKWFRAGRANCE Memorial Day Weekend Sale! 25% off site wide ✨ Ends Monday, 05.27 at 11:59PM PST https://t.co/pw0dmHXDB2",1880,82,2019,62585118,1962,0.0,127
1153,💕 https://t.co/92ahM3C1Gi,134533,6217,2019,62585118,140750,0.22,25
1154,✨ https://t.co/xSFwxiIAcx,29212,1831,2019,62585118,31043,0.05,25
1155,KIMYE 4 EVA https://t.co/VEmdWeIWZ6,50153,4223,2019,62585118,54376,0.09,35
1156,"Shop the #KKWBEAUTY Memorial Day Weekend Sale! Get up to 40% off select items while supplies last. Ends on Monday, 05.27 at 11:59PM PST https://t.co/fNYTEhCakZ",1273,71,2019,62585118,1344,0.0,159
1157,My new @kkwbeauty Soulmate Gloss is a blushing nude with light gold pearl. Shop it today for $18 at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/UJDPyPcF8E,2021,93,2019,62585118,2114,0.0,158
1158,Love Lipstick is a flattering peachy pink nude shade. Shop it before it sells out for $18 at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/SqUrIyZqwr,1404,69,2019,62585118,1473,0.0,151
1159,"We are SOLD OUT of the Mrs. West Lip Bundle!!!! The Mrs. West Eyeshadow Palette, Highlighter, Blush, Lipstick and Gloss are still available to shop individually at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/BceppDyXAb",1530,85,2019,62585118,1615,0.0,222
1160,Love Lip Liner is SOLD OUT!!! The Mrs. West Lip Bundle is still available to shop at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/8Mtmp1TPwk,1243,65,2019,62585118,1308,0.0,143
1161,🥰 https://t.co/geVgxiY9EJ,7421,272,2019,62585118,7693,0.01,25
1162,🥰 https://t.co/j4OosML8Fs,28493,2881,2019,62585118,31374,0.05,25
1163,We are SOLD OUT of the Mrs. West Collection!!!! You can still shop all products individually at https://t.co/PoBZ3bhjs8 #KKWBEAUTY,1919,109,2019,62585118,2028,0.0,130
1164,The Mrs. West Collection by @kkwbeauty is available to shop now at https://t.co/PoBZ3bhjs8 https://t.co/UZp8mB0Hb5,1618,91,2019,62585118,1709,0.0,114
1165,The Mrs. West Collection is available to shop now!!! I’m so excited to see all of the beautiful glam looks you guys create with this collection. Shop it now at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/R63GK7t9jX,1736,106,2019,62585118,1842,0.0,218
