,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
41,"Se lo debemos a nuestra historia, y a nuestra bandera.

¡Hoy juega Olimpia, hoy juega Olimpia, hoy juega Olimpia! Y mi querida Honduras está feliz.

¡Juntos! 
¡SIEMPRE JUNTOS! 🦁🇳🇱 https://t.co/gSDFzXyBkP",349,55,2019,1898,404,21.29,208
42,"""Poderoso rugido, creció con el tiempo."" 

Seguimos escribiendo historias.🦁 https://t.co/8Sb3F7vXhx",305,45,2019,1898,350,18.44,101
43,"Si, soy de Olimpia.

EL MAS GRANDE DE CENTROAMERICA.🇭🇳

¡Juntos, siempre juntos!🦁🇳🇱",220,44,2019,1898,264,13.91,87
44,"Desde temprano el Olimpismo se levanta porque esta noche cueste lo que cueste, esta noche tenemos que ganar.

¡Juntos, siempre juntos!🦁🇳🇱",145,27,2019,1898,172,9.06,139
45,"CONCACAF nos hizo jugar en menos de 72 horas cuartos y semis de champions. Hoy solo recordamos la épica hazaña.

Como siempre contra el mundo, y hasta el final juntos. La historia está de nuestro lado. 🦁🌎 https://t.co/9uuQG3mkhf",292,52,2019,1898,344,18.12,230
46,"Viernes de: ""Se puso la camisa del mas grande."" 

Los leo. https://t.co/lzq8FZ2QJW",167,29,2019,1898,196,10.33,84
47,¡EL DIEGO! https://t.co/jcrrDhyYQW,20,1,2019,1898,21,1.11,34
48,"En el clásico capitalino, la afición local se comportó a la altura, aún después de un resultado desfavorable. Cero incidentes reportados.. 

@Concacaf Las semifinales se deben jugar en suelo hondureño y con afición hondureña.",114,23,2019,1898,137,7.22,227
49,"Que enorme trabajo de este equipo❤️. Todos corriendo 95 minutos. Esto es Olimpia. 

¡JUNTOS, SIEMPRE Y HASTA EL FINAL JUNTOS🦁🇳🇱!",172,25,2019,1898,197,10.38,130
50,BENGUUU PUM PUM PUM!,44,4,2019,1898,48,2.53,20
51,PIE DE ANGEL! VAMOSSSS!,60,10,2019,1898,70,3.69,23
52,"¡Para ser campeón, hoy tenés que ganar🦁🇳🇱!

Dale, dale, dale león... https://t.co/zU8HPZM5Mt",95,15,2019,1898,110,5.8,94
