,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
244,"GOD BLESS THE U.S.A.! #MAGA
https://t.co/CYkQGHAgcx",131297,30484,2019,67625690,161781,0.24,52
245,https://t.co/Jd7IbQBUvu,75816,18223,2019,67625690,94039,0.14,23
246,THANK YOU FLORIDA! #KAG2020 https://t.co/mNB4KMEj9u,91406,20872,2019,67625690,112278,0.17,51
247,“OMB Official: Ukraine Aid Held Up Because Other Countries Weren't Giving” https://t.co/nYwMq3M5SB,59940,18268,2019,67625690,78208,0.12,98
248,https://t.co/1EYKod0tee,78313,18375,2019,67625690,96688,0.14,23
249,"The D.C. Wolves and Fake News Media are reading far too much into people being forced by Courts to testify before Congress. I am fighting for future Presidents and the Office of the President. Other than that, I would actually like people to testify. Don McGahn’s respected....",89468,22485,2019,67625690,111953,0.17,277
250,"When the Military rips down an old &amp; badly broken Border Wall in an important location, &amp; replaces it with a brand new 30 ft. high Steel &amp; Concrete Wall, Nancy Pelosi says we are not building a Wall. Wrong, and it is going up fast. Brandon Judd just gave us great marks! @FoxNews",97175,23448,2019,67625690,120623,0.18,291
251,I will always protect our great warfighters. I’ve got your backs!,159415,29740,2019,67625690,189155,0.28,65
252,Great job Heather! https://t.co/8OX8wkug4t,32109,6821,2019,67625690,38930,0.06,42
253,"“Poll shows Dems losing interest in Impeachment inquiry all across the board. These Polls are actually devastating to the Democrats. But the writing was on the wall. He’s done so many great things. He’s devastated ISIS &amp; killed AlBaghdadi, building Wall.” Jason Meister @FoxNews",63748,15356,2019,67625690,79104,0.12,282
254,https://t.co/Rya9MUlX1v,31692,8939,2019,67625690,40631,0.06,23
255,“Democrats committed to impeaching Trump for no reason.” Will backfire into big 2020 Victory for Republicans! @IngrahamAngle,77181,16303,2019,67625690,93484,0.14,124
256,"“DOW, NASDAQ, S&amp;P 500 CLOSE AT RECORD HIGHS” https://t.co/q8IuuuUGjb",85449,21893,2019,67625690,107342,0.16,72
257,https://t.co/BETsNAWsNs,64861,15667,2019,67625690,80528,0.12,23
258,Another new Stock Market Record. Enjoy!,128550,23093,2019,67625690,151643,0.22,39
259,“The Democrats are getting hit and slammed on Impeachment. It is getting less and less popular by the day.” @kilmeade @foxandfriends,75788,16721,2019,67625690,92509,0.14,132
260,"Support for Impeachment is dropping like a rock, down into the 20’s in some Polls. Dems should now get down to work and finally approve USMCA, and much more!",115058,27042,2019,67625690,142100,0.21,157
261,“President Trump is facing a process which is unprecedented for its unfairness.” Sam Dewey,79001,16387,2019,67625690,95388,0.14,90
262,"I was not pleased with the way that Navy Seal Eddie Gallagher’s trial was handled by the Navy. He was treated very badly but, despite this, was completely exonerated on all major charges. I then restored Eddie’s rank. Likewise, large cost overruns from past administration’s.....",94992,23173,2019,67625690,118165,0.17,279
263,Democrats going back to their Districts for Thanksgiving are getting absolutely hammered by their constituents over the phony Impeachment Scam. Republicans will have a great #2020 Election!,108839,25285,2019,67625690,134124,0.2,189
264,"“The whole Russia thing was a Hoax, and the Ukraine thing is a Hoax, and the Democrats are a Joke. This is a disaster for them!” @DevinNunes @FoxNews The Do Nothing Democrats are hurting our Country, and they don’t care!",81148,22270,2019,67625690,103418,0.15,220
